product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Garlic Polony 250g,31013.4,2935.0,733.75,1369,91152808.37000008,92.7456369828865,361,B
Eskort Pork Lasagne 800g,30359.8,273.0,218.4,194,91183168.17000008,92.7765272981716,362,B
Rindless Back Bacon 25 x 200g,30356.71,52.0,260.0,47,91213524.88000007,92.80741446946122,363,B
Six Gun Tub 1kg,30188.109999999997,362.0,362.0,301,91243712.99000007,92.83813009458925,364,B
Bacon Cherry Sticks p/kg,30182.31,411.0,200.87,249,91273895.30000007,92.86883981836651,365,B
Powerade Jag Ice 500ml,30046.48,1932.0,966.0,873,91303941.78000008,92.89941133861394,366,B
Dagbreek Peanut Brittle 250g Tub,29779.67,750.0,187.5,605,91333721.45000008,92.9297113865519,367,B
Eskort Chicken Polony 80g,29656.47,5171.0,413.68,1301,91363377.92000008,92.95988608166003,368,B
Minced Bacon 500g,29533.01,715.0,357.5,341,91392910.93000008,92.989935159395,369,B
Smoked Boneless Mini Pork Shanks p/kg,29118.670000000002,373.0,281.21,189,91422029.60000008,93.01956265684174,370,B
Chief Chicken Polony 750g,29003.4,2384.0,1784.25,529,91451033.00000009,93.04907287002959,371,B
Streaky Bacon 200g Combo Deal,28888.37,338.0,0.0,135,91479921.3700001,93.07846604315239,372,B
Coka Cola Less Sugar 1.5L,28625.41,1394.0,2088.0,747,91508546.78000009,93.10759166124161,373,B
PS Caramilk 48g,28463.579999999998,1985.0,97.23,1174,91537010.36000009,93.13655262147005,374,B
Monster Original 500ml,28407.71,1368.0,684.0,900,91565418.07000008,93.16545673541111,375,B
Chopped Ham Roll 1kg Combo Deal,28280.43,327.0,0.0,154,91593698.50000009,93.19423134522735,376,B
Pepsi Can 500ml,27808.45,2633.0,1316.5,1081,91621506.95000009,93.22252572753851,377,B
Switch - Vitamin C 500ml,27779.3,2481.0,1240.5,1119,91649286.25000009,93.25079045047475,378,B
Eskort Smoked Pork Necks VSP p/kg,27722.21,561.0,229.21,345,91677008.46000008,93.27899708580503,379,B
Eskort French Polony 80g,27678.75,4816.0,385.28000000000003,1069,91704687.21000008,93.30715950170361,380,B
MARINATED RIB BURGER COMBO,27396.52,406.0,0.0,128,91732083.73000008,93.3350347558395,381,B
Umlando No Pork Braaiwors 720g,27240.53,920.0,660.96,545,91759324.26000008,93.36275129416431,382,B
